datetime_local,water_temp_degC,do_mgL,batt_volt
2019-10-09 17:18:00,22.78,10.84,3.20
2019-10-09 17:19:00,22.78,10.83,3.20
2019-10-09 17:20:00,22.78,10.84,3.20
2019-10-09 17:21:00,22.73,10.89,3.20
2019-10-09 17:22:00,22.79,10.90,3.20
2019-10-09 17:23:00,22.75,10.91,3.20
2019-10-09 17:24:00,22.78,10.90,3.20
2019-10-09 17:25:00,22.68,10.93,3.20
2019-10-09 17:26:00,22.79,10.91,3.20
2019-10-09 17:27:00,22.71,10.94,3.20
2019-10-09 17:28:00,22.72,10.97,3.20
2019-10-09 17:29:00,22.73,10.96,3.20
2019-10-09 17:30:00,22.74,10.94,3.20
2019-10-09 17:31:00,22.78,10.91,3.20
2019-10-09 17:32:00,22.73,10.90,3.20
2019-10-09 17:33:00,22.73,10.89,3.20
2019-10-09 17:34:00,22.72,10.88,3.20
2019-10-09 17:35:00,22.69,10.91,3.20
2019-10-09 17:36:00,22.73,10.91,3.20
2019-10-09 17:37:00,22.68,10.92,3.20
2019-10-09 17:38:00,22.71,10.94,3.20
2019-10-09 17:39:00,22.73,10.94,3.20
2019-10-09 17:40:00,22.72,10.98,3.20
2019-10-09 17:41:00,22.71,10.94,3.20
2019-10-09 17:42:00,22.69,10.98,3.20
2019-10-09 17:43:00,22.70,10.98,3.20
2019-10-09 17:44:00,22.70,10.99,3.20
2019-10-09 17:45:00,22.71,10.99,3.20
2019-10-09 17:46:00,22.71,11.02,3.20
2019-10-09 17:47:00,22.68,11.03,3.20
2019-10-09 17:48:00,22.68,11.01,3.20
2019-10-09 17:49:00,22.73,11.00,3.20
2019-10-09 17:50:00,22.67,11.05,3.20
2019-10-09 17:51:00,22.66,11.03,3.20
2019-10-09 17:52:00,22.70,11.03,3.20
2019-10-09 17:53:00,22.70,11.02,3.20
2019-10-09 17:54:00,22.64,11.07,3.20
2019-10-09 17:55:00,22.70,11.03,3.20
2019-10-09 17:56:00,22.68,11.03,3.20
2019-10-09 17:57:00,22.66,11.05,3.20
2019-10-09 17:58:00,22.64,11.03,3.20
2019-10-09 17:59:00,22.66,11.03,3.20
2019-10-09 18:00:00,22.66,11.02,3.20
2019-10-09 18:01:00,22.67,11.02,3.20
2019-10-09 18:02:00,22.62,11.04,3.20
2019-10-09 18:03:00,22.61,11.02,3.20
2019-10-09 18:04:00,22.65,11.01,3.20
2019-10-09 18:05:00,22.63,11.03,3.20
2019-10-09 18:06:00,22.60,11.02,3.20
2019-10-09 18:07:00,22.63,11.01,3.20
2019-10-09 18:08:00,22.64,11.01,3.20
2019-10-09 18:09:00,22.64,11.01,3.20
2019-10-09 18:10:00,22.63,10.99,3.20
2019-10-09 18:11:00,22.63,11.03,3.20
2019-10-09 18:12:00,22.65,11.01,3.20
2019-10-09 18:13:00,22.64,10.99,3.20
2019-10-09 18:14:00,22.65,11.01,3.20
